track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,cover_url
Yet To Come,BTS,1,2022,6,10,829,0,302006641,32,110,26,0,0,172,C#,Major,56,68,89,4,0,33,19,https://i.scdn.co/image/ab67616d0000b27317db30ce3f081d6818a8ad49
Run BTS,BTS,1,2022,6,10,736,0,330881149,5,132,17,0,3,77,G#,Major,72,70,82,2,0,4,17,https://i.scdn.co/image/ab67616d0000b27317db30ce3f081d6818a8ad49
Music For a Sushi Restaurant,Harry Styles,1,2022,5,20,4449,1,334733572,80,11,66,0,1,107,B,Major,72,36,72,26,6,11,4,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0
Matilda,Harry Styles,1,2022,5,20,3218,3,366214458,29,10,79,0,0,114,D,Major,51,39,29,90,0,10,4,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0
For Youth,BTS,1,2022,6,10,327,0,114546317,5,40,12,0,0,117,D,Major,63,29,51,43,0,25,4,https://i.scdn.co/image/ab67616d0000b27317db30ce3f081d6818a8ad49
Daylight,Harry Styles,1,2022,5,20,2775,0,290833204,21,11,40,0,0,146,,Major,69,63,45,48,0,18,4,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,1,2022,5,6,4576,0,448500832,79,13,93,0,17,160,G#,Minor,80,74,60,8,0,14,26,https://i.scdn.co/image/ab67616d0000b273cada88daf56a282fb18ecf7f
Cash In Cash Out,"Pharrell Williams, Tyler, The Creator, 21 Savage",4,2022,6,10,2313,0,136676504,34,0,29,0,0,120,G,Major,88,15,56,1,0,8,6,https://i.scdn.co/image/ab67616d0000b2738f0df54fd6043164d7c07ae3
Potion (with Dua Lipa & Young Thug),"Calvin Harris, Dua Lipa, Young Thug",3,2022,5,27,3983,0,190625045,73,45,119,0,0,100,B,Minor,82,76,70,16,0,8,5,https://i.scdn.co/image/ab67616d0000b273210dbb988be90592f4e0a4bd
Born Singer,BTS,1,2022,6,10,279,0,79095270,0,18,6,0,0,158,G#,Minor,60,68,84,4,0,24,11,https://i.scdn.co/image/ab67616d0000b27317db30ce3f081d6818a8ad49
Little Freak,Harry Styles,1,2022,5,20,2302,0,273194684,20,3,39,0,0,142,D#,Major,56,40,54,72,0,10,4,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0
La Llevo Al Cielo (Ft. ï¿½ï¿½engo F,"Nengo Flow, Anuel Aa, Chris Jedi, Chencho Corleone",4,2022,5,20,3559,3,333146475,36,1,31,0,1,170,A,Minor,80,77,85,11,0,17,14,Not Found
True Love,"Kanye West, XXXTENTACION",2,2022,5,27,2129,0,194902696,23,1,44,1,0,84,F,Minor,71,39,86,2,0,51,25,https://i.scdn.co/image/ab67616d0000b273f52f6a4706fea3bde44467c3
Satellite,Harry Styles,1,2022,5,20,3291,5,311482393,43,28,79,0,208,139,,Major,58,30,46,14,0,9,3,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0
Pass The Dutchie,Musical Youth,1,1982,1,1,5328,0,195918494,54,76,900,0,0,151,G,Major,73,88,67,20,0,32,5,https://i.scdn.co/image/ab67616d0000b27392a9d95df51a8d84f90166a6
"Villano Antillano: Bzrp Music Sessions, Vol. 51","Bizarrap, Villano Antillano",2,2022,6,8,1401,0,248511839,26,16,17,0,1,128,C#,Minor,82,42,75,6,0,63,6,https://i.scdn.co/image/ab67616d0000b273ab7954fdffcef5bb8e052f28
Love Of My Life,Harry Styles,1,2022,5,20,1933,0,233671263,13,2,31,0,0,118,G,Major,56,20,54,67,0,6,5,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0
Grapejuice,Harry Styles,1,2022,5,20,1986,0,199587884,7,1,15,0,0,183,F,Major,65,88,72,36,14,20,3,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0
So Good,Halsey,1,2022,6,9,1057,0,91781263,51,14,19,0,0,83,D#,Minor,63,29,62,4,0,18,4,https://i.scdn.co/image/ab67616d0000b27339e6616a499bc092f469cae0
Belly Dancer,"BYOR, Imanbek",2,2022,2,18,5115,13,383835984,109,38,301,1,33,122,C#,Major,85,42,80,6,0,17,14,Not Found
Keep Driving,Harry Styles,1,2022,5,20,2094,1,236060709,8,1,18,0,0,165,A,Major,72,90,48,32,0,18,23,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0
Cinema,Harry Styles,1,2022,5,20,2171,0,189236868,18,1,28,0,0,106,A,Minor,83,90,64,35,5,9,4,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0
Die Young (feat. 347aidan),"Sleepy hallow, 347aidan",2,2022,5,25,896,0,160845341,19,0,15,0,0,77,B,Major,81,68,58,83,0,11,34,https://i.scdn.co/image/ab67616d0000b273e44e304f52a82a3463ce5761
Only Love Can Hurt Like This,Paloma Faith,1,2014,1,1,5148,0,588955257,90,22,365,0,114,91,G#,Major,57,30,89,10,0,33,8,https://i.scdn.co/image/ab67616d0000b273c4576f635253db511bb43789
Hold My Hand,Lady Gaga,1,2022,5,3,2528,0,238350348,63,8,270,2,105,148,G,Major,51,21,63,5,0,41,3,https://i.scdn.co/image/ab67616d0000b273b7e7edfee5626b7b1f15192a
Daydreaming,Harry Styles,1,2022,5,20,1900,1,187703102,15,1,23,0,0,114,E,Minor,71,90,81,31,2,13,3,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0
Numb,"Marshmello, Khalid",2,2022,6,10,3879,2,295307001,107,76,86,1,9,120,,Minor,91,63,77,12,1,10,5,https://i.scdn.co/image/ab67616d0000b2732ff34dbc50313f8cea7b5db5
Nos Comemos (feat. Ozuna),"Ozuna, Tiago pzk",2,2022,6,2,896,0,138334433,0,0,2,0,0,92,F#,Major,83,56,82,10,0,9,5,Not Found
Me and Your Mama,Childish Gambino,1,2016,11,10,8775,0,445590495,33,60,107,1,0,118,F,Major,56,25,45,1,3,7,3,https://i.scdn.co/image/ab67616d0000b2737582716b3666a5235d5af4ea
Crazy What Love Can Do,"David Guetta, Ella Henderson, Becky Hill",3,2022,3,18,5290,0,286739476,139,73,142,0,5,123,E,Minor,60,46,71,3,0,16,4,https://i.scdn.co/image/ab67616d0000b273ef4ed3c74eb9eac3754b60d2
SLOW DANCING IN THE DARK,Joji,1,2018,9,12,10211,0,1122364376,38,79,65,0,1,89,D#,Major,52,28,48,54,1,19,3,https://i.scdn.co/image/ab67616d0000b27360ba1d6104d0475c7555a6b2
Antes de Perderte,Duki,1,2022,6,2,584,8,157136970,12,1,8,0,1,110,F,Minor,81,61,93,49,0,12,11,https://i.scdn.co/image/ab67616d0000b273e63232b00577a053120ca08f
Boyfriends,Harry Styles,1,2022,5,20,1517,0,137070925,26,2,30,0,0,118,,Major,42,32,20,94,0,11,4,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0
295,Sidhu Moose Wala,1,2021,5,15,246,4,183273246,4,106,0,0,7,90,B,Minor,68,54,76,21,0,11,20,https://i.scdn.co/image/ab67616d0000b2731d1cc2e40d533d7bcebf5dae
Tak Ingin Usai,Keisya Levronka,1,2022,5,13,220,4,184807630,16,5,0,0,6,130,,Major,49,14,40,82,0,11,3,https://i.scdn.co/image/ab67616d0000b2738fa475b368164ab5eebe1a8d
En El Radio Un Cochinero,Victor Cibrian,1,2022,5,13,514,0,164856284,5,36,1,0,0,154,F#,Minor,70,97,62,47,0,10,4,https://i.scdn.co/image/ab67616d0000b273665cfd5826ac132eb42262d3
Master of Puppets (Remastered),Metallica,1,1986,3,3,6080,0,704171068,112,198,406,1,0,105,E,Minor,54,59,83,0,44,20,4,https://i.scdn.co/image/ab67616d0000b273cad4832cb7b5844343278daa
BREAK MY SOUL,Beyoncï¿,1,2022,6,21,9724,0,354614964,222,61,259,14,2,115,C#,Minor,70,87,88,4,0,26,8,Not Found
ULTRA SOLO REMIX,"De La Ghetto, Feid, Polima WestCoast, Paloma Mami, Pailita",5,2022,6,16,2341,0,279717388,37,2,38,2,0,110,C#,Major,91,59,82,8,0,6,8,Not Found
Massive,Drake,1,2022,6,17,5263,0,195628667,66,89,61,0,11,125,E,Minor,51,5,68,12,2,15,6,https://i.scdn.co/image/ab67616d0000b2738dc0d801766a5aa6a33cbe37
Betty (Get Money),Yung Gravy,1,2022,6,10,2402,0,221752937,45,2,26,0,1,102,C#,Major,73,62,75,0,0,34,8,https://i.scdn.co/image/ab67616d0000b273633674a4e5072dabf5173069
Ojos Marrones,Lasso,1,2022,2,6,795,11,263280370,26,18,15,1,4,120,G#,Minor,81,72,65,4,0,14,4,https://i.scdn.co/image/ab67616d0000b273c6fbbdf9c172f4f68a89198a
POP!,Nayeon,1,2022,6,24,571,0,213505179,19,21,14,0,2,97,D,Major,80,36,86,4,0,3,5,https://i.scdn.co/image/ab67616d0000b2735fb4a9cfbeb3b7beb337ed02
Layla,"Schï¿½ï¿½rze, DJ R",2,2022,3,24,832,3,130419412,18,124,24,1,0,140,F,Minor,44,41,92,0,0,44,7,Not Found
MORE,j-hope,1,2022,7,1,565,0,155795783,6,52,11,0,0,97,D,Major,78,31,72,1,0,11,4,https://i.scdn.co/image/ab67616d0000b273ce5bba40b16f887e0461c6e2
Sweet Child O' Mine,Guns N' Roses,1,1987,1,1,41231,1,1553497987,228,151,"6,720",3,99,125,F#,Major,45,67,90,9,11,10,5,https://i.scdn.co/image/ab67616d0000b27321ebf49b3292c3f0f575f0f5
Last Last,Burna Boy,1,2022,5,12,4526,12,293466523,156,275,150,3,128,88,D#,Minor,80,55,56,13,0,8,9,https://i.scdn.co/image/ab67616d0000b27312ebde47882280b814275600
SNAP,Rosa Linn,1,2022,3,19,1818,0,711366595,3,0,63,0,353,170,,Major,56,52,64,11,0,45,7,https://i.scdn.co/image/ab67616d0000b2731391b1fdb63da53e5b112224
Sticky,Drake,1,2022,6,17,2814,0,191448892,38,105,25,0,2,137,A#,Minor,88,8,49,9,0,9,14,https://i.scdn.co/image/ab67616d0000b2738dc0d801766a5aa6a33cbe37
Hot Shit (feat. Ye & Lil Durk),"Kanye West, Lil Durk, Cardi B",3,2022,7,1,1601,0,85924992,11,0,2,0,0,157,A,Major,88,52,69,0,0,8,23,https://i.scdn.co/image/ab67616d0000b273b629e669238964a725937c1b
Ai Preto,"L7nnon, DJ Biel do Furduncinho, Bianca",3,2022,6,3,894,4,176103902,28,0,54,0,0,130,F#,Major,95,83,57,54,0,10,25,https://i.scdn.co/image/ab67616d0000b27302c3ff07d407f3e30c395243
La Loto,"Anitta, Tini, Becky G",3,2022,7,6,945,0,121189256,49,3,57,0,0,90,C#,Major,85,80,83,10,0,8,11,Not Found
die first,Nessa Barrett,1,2022,6,24,767,0,131746175,25,0,22,0,0,183,G#,Minor,44,44,67,7,0,12,13,https://i.scdn.co/image/ab67616d0000b273fe6b11174f7eaddd74e870e0
Afraid To Feel,LF System,1,2022,5,2,5898,5,244790012,129,55,128,0,101,128,C#,Major,58,68,91,2,0,27,11,https://i.scdn.co/image/ab67616d0000b273ced808ef1567eaf901041438
Baile no Morro,"Mc Vitin Da Igrejinha, MC Tairon, DJ Win",3,2022,6,10,685,2,129314708,17,0,24,0,30,130,D#,Minor,71,78,40,46,0,7,45,https://i.scdn.co/image/ab67616d0000b27352cf91ed2a3ed757c6faaa8a
cï¿½ï¿½mo dormi,Rels B,1,2022,8,4,1452,35,331511413,16,15,20,0,0,126,C#,Major,63,56,43,24,0,12,23,Not Found
Bad Decisions (with BTS & Snoop Dogg),"Snoop Dogg, BTS, Benny Blanco",3,2022,8,5,1456,0,219196651,53,2,33,0,0,120,,Major,77,94,87,2,0,23,12,https://i.scdn.co/image/ab67616d0000b2738c47a33a55c6d23cc9d2cf3f
STAYING ALIVE (feat. Drake & Lil Baby),"Drake, DJ Khaled, Lil Baby",3,2022,8,5,2107,0,170732845,51,1,50,0,0,130,E,Minor,72,18,46,7,0,28,8,https://i.scdn.co/image/ab67616d0000b273b690b30a50c94c6da49ba948
Caile,Luar La L,1,2020,12,18,1494,2,273914335,17,12,15,0,0,122,,Major,70,46,76,30,0,9,45,https://i.scdn.co/image/ab67616d0000b27305c2cc3e87e9aa15d9db3dd9
Si Te La Encuentras Por Ahï¿,Feid,1,2022,8,5,1379,4,179061440,23,10,18,0,0,172,G#,Minor,74,46,58,15,0,13,8,https://i.scdn.co/image/ab67616d0000b273b47e7b6440836be413b84c34
GIVENCHY,Duki,1,2022,7,20,625,4,185236961,13,18,12,0,0,103,G#,Major,61,38,62,14,0,23,40,https://i.scdn.co/image/ab67616d0000b273b661d9d73921e40ae97cb5e4
ALIEN SUPERSTAR,Beyoncï¿,1,2022,7,29,2688,0,171788484,39,47,36,0,0,122,A#,Minor,55,46,64,0,0,17,10,Not Found
Mary On A Cross,Ghost,1,2019,9,13,2668,2,387080183,38,266,78,0,141,130,B,Major,47,56,90,0,0,10,4,https://i.scdn.co/image/ab67616d0000b273bef9b0a348ea8dd18a581025
Attention,NewJeans,1,2022,8,1,799,12,264717480,14,141,9,0,1,105,A#,Minor,81,70,65,24,0,8,4,https://i.scdn.co/image/ab67616d0000b2739d28fd01859073a3ae6ea209
THE SHADE,Rex Orange County,1,2022,3,11,1189,6,244928911,17,10,16,0,4,120,F,Major,90,73,51,39,0,9,6,https://i.scdn.co/image/ab67616d0000b2735b656d32ea6b0b9c54c2d2e0
"Come Back Home - From ""Purple Hearts""",Sofia Carson,1,2022,7,12,367,0,97610446,28,67,195,0,0,145,G,Major,56,43,53,24,0,12,4,https://i.scdn.co/image/ab67616d0000b27326af6664e24916047b68ab81
El Rescate,"Grupo Marca Registrada, Junior H",2,2022,7,22,527,4,287278853,10,43,3,1,0,99,G,Minor,79,64,59,28,0,11,14,https://i.scdn.co/image/ab67616d0000b2731857fd24035428986c831a7f
Heartless,Kanye West,1,2008,1,1,17504,34,887906111,63,39,"1,315",0,2,88,A#,Minor,79,66,65,5,0,25,14,https://i.scdn.co/image/ab67616d0000b273346d77e155d854735410ed18
"Stay With Me (with Justin Timberlake, Halsey, & Pharrell)","Calvin Harris, Halsey, Pharrell Williams, Justin Timberlake",4,2022,7,15,3113,0,123473120,54,6,124,1,0,126,A,Major,81,90,73,28,0,29,4,https://i.scdn.co/image/ab67616d0000b2739b93a80dbfd3d789065d7b67
Siempre Pendientes,"Peso Pluma, Luis R Conriquez",2,2022,8,15,685,5,295152154,15,79,4,2,0,136,,Major,77,71,75,33,1,13,4,https://i.scdn.co/image/ab67616d0000b273093a2563368d844b2a91306f
JGL,"Luis R Conriquez, La Adictiva",2,2022,2,18,782,9,323455692,15,33,6,1,0,113,G#,Major,70,97,59,55,0,27,12,Not Found
Don't You Worry,"David Guetta, Shakira, Black Eyed Peas",3,2022,6,16,2442,0,240918092,81,4,248,1,6,132,B,Major,82,49,88,20,0,21,3,Not Found
Pipoco,"Melody, Ana Castela, Dj Chris No Beat",3,2022,5,20,1112,4,191873381,22,2,65,1,3,135,G#,Major,77,74,74,47,0,34,8,Not Found
Hold Me Closer,"Elton John, Britney Spears",2,2017,11,10,4967,0,284216603,165,10,177,4,73,126,,Major,67,49,77,11,0,19,11,https://i.scdn.co/image/ab67616d0000b2735d872e7b0c1ba964541f07e8
Forget Me,Lewis Capaldi,1,2022,9,9,2520,4,239411309,93,95,84,9,202,102,C#,Minor,67,72,74,30,0,36,4,https://i.scdn.co/image/ab67616d0000b2737cdf9838412bb52df6e9a952
After LIKE,IVE,1,2022,8,22,767,12,265548837,20,129,11,0,12,125,,Major,68,80,92,10,0,9,12,https://i.scdn.co/image/ab67616d0000b27387f53da5fb4ab1171766b2d5
Bound 2,Kanye West,1,2013,1,1,19806,7,703301727,33,11,274,0,0,149,C#,Major,37,28,66,14,0,9,5,https://i.scdn.co/image/ab67616d0000b2731dacfbc31cc873d132958af9
B.O.T.A. (Baddest Of Them All) - Edit,"Interplanetary Criminal, Eliza Rose",2,2022,6,15,5153,6,244585109,102,53,113,12,0,137,,Major,74,71,89,24,61,15,5,Not Found
Talk that Talk,TWICE,1,2022,8,26,615,0,189476119,14,77,15,1,2,120,D#,Minor,77,78,91,14,0,33,12,https://i.scdn.co/image/ab67616d0000b273c3040848e6ef0e132c5c8340
BILLIE EILISH.,Armani White,1,2022,1,20,2537,0,277132266,49,1,67,11,1,100,C#,Major,90,75,50,11,0,9,26,https://i.scdn.co/image/ab67616d0000b2734f8799f23432ad98d522f0ec
Ferxxo 100,Feid,1,2022,6,3,1647,30,278920007,20,49,23,2,2,164,G#,Minor,70,58,57,25,0,15,7,https://i.scdn.co/image/ab67616d0000b273b764865b38a71f70dfd0dbcb
KU LO SA - A COLORS SHOW,Oxlade,1,2022,6,10,2019,8,222410722,117,72,107,1,7,93,A#,Minor,65,79,66,31,0,22,7,https://i.scdn.co/image/ab67616d0000b273948cc9446ba50ec454e6804f
Prohibidox,Feid,1,2022,9,13,1473,12,185392587,25,36,25,1,0,180,C#,Minor,65,52,80,5,0,6,25,https://i.scdn.co/image/ab67616d0000b273b764865b38a71f70dfd0dbcb
Static,Steve Lacy,1,2022,7,15,1613,0,202452860,21,15,13,0,0,79,C#,Major,34,22,31,43,63,10,7,https://i.scdn.co/image/ab67616d0000b27368968350c2550e36d96344ee
The Scientist,Coldplay,1,2002,8,5,30992,6,1608164312,124,25,"7,827",1,0,146,F,Major,56,21,44,73,0,11,2,https://i.scdn.co/image/ab67616d0000b273de09e02aa7febf30b7c02d82
Sparks,Coldplay,1,2000,7,10,10826,4,624101957,24,0,805,0,0,103,C#,Major,37,17,27,75,5,10,3,https://i.scdn.co/image/ab67616d0000b2733d92b2ad5af9fbc8637425f0
Talk,YEAT,1,2022,9,2,920,0,148461629,10,1,8,0,0,140,E,Minor,70,26,76,8,0,54,23,https://i.scdn.co/image/ab67616d0000b2737aee5b36a3a60ca926bc429b
XQ Te Pones Asï¿,"Yandel, Feid",2,2022,9,13,308,0,47093942,6,1,6,0,0,92,A#,Major,81,48,70,13,0,15,7,Not Found
Selfish,PnB Rock,1,2016,6,23,2468,0,380319238,15,0,0,0,0,102,C#,Minor,64,4,60,11,0,19,4,https://i.scdn.co/image/ab67616d0000b273e9fb616403542596d3ede300
Sin Seï¿½ï,"Ovy On The Drums, Quevedo",2,2022,7,22,1097,2,209106362,18,10,13,1,1,118,B,Minor,82,75,85,33,1,11,4,Not Found
Lady Mi Amor,Feid,1,2022,9,13,330,0,53987404,3,0,2,0,0,93,D,Major,78,75,62,6,0,15,6,https://i.scdn.co/image/ab67616d0000b27373456ed697350847810e52b3
Poland,Lil Yachty,1,2022,6,23,1584,0,115331792,38,0,24,0,0,150,F,Minor,70,26,56,14,83,11,5,https://i.scdn.co/image/ab67616d0000b273615d6910181bc514d4c4b011
THE LONELIEST,Mï¿½ï¿½ne,1,2022,10,7,1585,5,225093344,78,65,328,1,198,130,D,Major,52,24,60,0,0,8,3,Not Found
Bye Bye,"Marshmello, Juice WRLD",2,2022,10,14,766,0,84697729,16,0,9,0,0,83,D#,Minor,65,24,53,6,0,51,4,https://i.scdn.co/image/ab67616d0000b2734204e8bad640cf32eca876a5
BABY OTAKU,"Fran C, Polima WestCoast, Nickoog Clk, Pablito Pesadilla",4,2022,8,18,836,0,159240673,14,1,13,0,0,102,A,Major,84,43,75,5,0,6,8,Not Found
Nxde,(G)I-DLE,1,2022,10,17,430,6,170709584,14,116,9,0,11,136,E,Minor,73,65,91,4,0,48,18,https://i.scdn.co/image/ab67616d0000b273ac815bdd584468a7aa0216e1
Miss You,Southstar,1,1982,5,16,2020,0,154356956,77,10,119,0,40,145,A,Major,66,24,58,17,0,19,5,https://i.scdn.co/image/ab67616d0000b2731b5f2557a7fe884d0e3d8b2a
we fell in love in october,girl in red,1,2018,11,21,6858,0,723043854,31,21,15,0,4,130,G,Major,57,24,37,11,18,16,3,https://i.scdn.co/image/ab67616d0000b273d6839051c4760457e1a60b2a
2 Be Loved (Am I Ready),Lizzo,1,2022,7,14,3682,6,247689123,41,0,158,2,68,156,G,Major,72,92,77,9,0,8,11,https://i.scdn.co/image/ab67616d0000b273caa75a1b27530c05d8b76675
Celestial,Ed Sheeran,1,2022,9,29,1639,0,176474912,86,14,80,0,37,123,D,Major,57,50,85,5,0,16,4,https://i.scdn.co/image/ab67616d0000b27300bc0dcf5dd155f73eff5267
Typa Girl,BLACKPINK,1,2022,9,16,452,10,235549288,2,129,13,0,1,132,G,Major,92,53,62,7,0,63,10,https://i.scdn.co/image/ab67616d0000b2734aeaaeeb0755f1d8a8b51738
I Really Want to Stay at Your House,"Rosa Walton, Hallie Coggins",2,2020,12,18,668,1,140430339,0,0,31,0,,125,D#,Minor,49,13,74,0,0,9,4,https://i.scdn.co/image/ab67616d0000b273a91a5b301baac1f46e6f30eb
California Breeze,Lil Baby,1,2022,10,14,991,0,85559365,36,38,13,0,3,162,F,Minor,74,22,67,0,0,11,46,https://i.scdn.co/image/ab67616d0000b27366b04b41fa6f8908dce86695
Bamba (feat. Aitch & BIA),"Luciano, Aitch, Bï¿½",3,2022,9,22,869,7,146223492,14,12,12,2,28,138,A#,Major,80,82,81,14,0,13,36,https://i.scdn.co/image/ab67616d0000b27348064ef6df8fad8a52219c32
Casei Com a Putaria,"MC Ryan SP, Love Funk, Mc Paiva ZS",3,2022,7,1,648,4,187701588,0,0,30,0,0,161,A#,Minor,59,62,60,12,0,5,44,Not Found
Major Distribution,"Drake, 21 Savage",2,2022,11,4,1545,0,154863153,22,7,15,0,0,131,G#,Minor,91,23,55,1,0,7,32,https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad
Pussy & Millions (feat. Travis Scott),"Drake, Travis Scott, 21 Savage",3,2022,11,4,1930,0,191333656,24,8,17,0,1,122,E,Minor,75,45,63,6,0,35,12,https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad
Vigilante Shit,Taylor Swift,1,2022,10,21,1948,0,253650850,12,9,16,0,0,80,E,Minor,80,16,28,17,0,12,39,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5
Question...?,Taylor Swift,1,2022,10,21,1608,0,223064273,10,3,12,0,0,109,G,Major,75,11,50,20,0,30,17,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5
On BS,"Drake, 21 Savage",2,2022,11,4,1338,0,170413877,9,20,7,0,0,158,A,Major,84,33,36,2,0,39,59,https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad
Mastermind,Taylor Swift,1,2022,10,21,1936,0,218320587,7,5,13,0,0,126,E,Major,66,12,35,55,0,9,14,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5
Circo Loco,"Drake, 21 Savage",2,2022,11,4,1794,0,141720999,26,9,17,0,3,104,C#,Major,73,25,61,1,0,32,7,https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad
Labyrinth,Taylor Swift,1,2022,10,21,1597,0,187339835,6,3,15,0,0,110,,Major,48,15,31,80,22,12,4,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5
Spin Bout U,"Drake, 21 Savage",2,2022,11,4,1652,2,198365537,26,52,10,0,95,130,G,Major,77,20,70,1,0,16,5,https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad
Sweet Nothing,Taylor Swift,1,2022,10,21,1747,0,186104310,9,6,13,0,2,177,,Major,34,39,16,97,0,12,5,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5
"Would've, Could've, Should've",Taylor Swift,1,2022,10,21,1715,0,177503916,4,5,8,0,0,158,G,Major,48,55,84,43,0,15,12,https://i.scdn.co/image/ab67616d0000b2737dca066ca62e4ebb583b8058
Con La Brisa,"Ludwig Goransson, Foudeqush",2,2022,11,4,486,0,71095708,8,1,7,0,0,114,D,Minor,62,25,44,51,33,14,3,Not Found
Privileged Rappers,"Drake, 21 Savage",2,2022,11,4,1007,0,112436403,6,5,3,0,0,144,F,Major,93,62,61,0,0,12,20,https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad
The Astronaut,Jin,1,2022,10,28,481,9,203436468,10,100,15,1,27,125,F,Major,54,22,76,0,0,14,3,https://i.scdn.co/image/ab67616d0000b27343aaff780ea621da5ce4eb0a
BackOutsideBoyz,Drake,1,2022,11,4,1045,0,93367537,8,5,2,0,0,142,F,Minor,85,40,43,4,0,39,32,https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad
Broke Boys,"Drake, 21 Savage",2,2022,11,4,1060,0,106249219,3,8,5,0,0,120,D,Major,64,11,53,1,0,25,27,https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad
The Great War,Taylor Swift,1,2022,10,21,1274,0,181382590,1,6,11,0,0,96,F,Major,57,55,74,22,0,8,4,https://i.scdn.co/image/ab67616d0000b273e0b60c608586d88252b8fbc0
My Mind & Me,Selena Gomez,1,2022,11,3,953,0,91473363,61,13,37,1,0,144,A,Major,60,24,39,57,0,8,3,https://i.scdn.co/image/ab67616d0000b2730f5397dc6aa91374897182e0
Bigger Than The Whole Sky,Taylor Swift,1,2022,10,21,1180,0,121871870,4,0,8,0,0,166,F#,Major,42,7,24,83,1,12,6,https://i.scdn.co/image/ab67616d0000b273e0b60c608586d88252b8fbc0
A Veces (feat. Feid),"Feid, Paulo Londra",2,2022,11,3,573,0,73513683,2,0,7,0,0,92,C#,Major,80,81,67,4,0,8,6,Not Found
En La De Ella,"Feid, Sech, Jhayco",3,2022,10,20,1320,0,133895612,29,26,17,0,0,97,C#,Major,82,67,77,8,0,12,5,Not Found
Alone,Burna Boy,1,2022,11,4,782,2,96007391,27,18,32,1,0,90,E,Minor,61,32,67,15,0,11,5,https://i.scdn.co/image/ab67616d0000b273992a1f56ac5382848277cff2
Endless Journey,Echo Dreamers,2,2002,2,8,2690,104,901659790,3,32,146,120,,182,F,Major,87,22,95,48,12,9,6,Not Found
Heartbeats in Silence,The Vibes,1,2022,9,17,135,23,46485875,24,146,100,15,,67,C#,Minor,73,61,87,80,68,34,79,Not Found
Into the Night,Stellar Waves,4,2003,3,3,1229,116,890638238,47,52,81,102,10.0,169,C#,Major,50,90,67,42,63,75,85,Not Found
Rhythms of the Night,Blue Moon,4,2002,3,16,3582,153,630757168,28,145,140,156,74.0,199,C,Minor,2,77,68,21,40,97,53,Not Found
Rhythms of the Night,Golden Skies,3,2012,6,11,6994,96,338871019,115,168,125,124,,67,F,Minor,12,29,83,55,36,70,16,Not Found
Heartbeats in Silence,The Wildfires,3,2018,6,12,7868,126,198686190,43,68,147,120,,71,A,Major,93,51,80,62,78,73,65,Not Found
Sunset Boulevard,Lunar Drift,3,2000,9,27,832,186,495866376,57,42,78,197,60.0,60,A#,Minor,37,97,49,13,0,57,95,Not Found
Silent Echo,Velvet Echo,5,2008,2,13,1240,93,197961211,114,140,41,127,130.0,142,G,Major,22,13,20,49,38,6,53,Not Found
Heartbeats in Silence,Stellar Waves,3,2007,8,16,5000,21,971976576,121,9,120,122,48.0,181,B,Major,62,8,4,46,72,70,75,Not Found
Golden Hour,Mystic Tides,3,2020,9,28,6973,32,417411182,42,76,64,167,,67,E,Minor,77,22,34,72,89,78,71,Not Found
Beyond the Horizon,Stellar Waves,5,2023,6,18,1604,19,49874358,14,138,104,146,,141,C#,Minor,36,25,33,36,90,29,1,Not Found
